Год,Регион,mean_salary,flat_count,latitude,distance_to_moscow_km,Population,district
2002,Псковская область,2735.0,1318,57.8169,690,763.0,СЗФО
2002,Ростовская область,3025.7,10264,47.2225,1100,4407.0,ЮФО
2002,Рязанская область,2530.9,2550,54.6292,200,1232.0,ЦФО
2002,Саратовская область,2620.7,6011,51.5331,840,2672.0,ПФО
2002,Сахалинская область,5522.8,530,46.9641,6700,548.0,ДВФО
2002,Свердловская область,3954.1,8160,56.8389,1800,4495.0,УрФО
2002,Смоленская область,3003.5,2413,54.7818,370,1054.0,ЦФО
2002,Тамбовская область,2688.3,2445,52.7236,480,1183.0,ЦФО
2002,Томская область,3954.3,2936,56.4846,3600,1047.0,СФО
2002,Ставропольский край,2335.2,5828,45.0428,1400,2734.0,ЮФО
2002,Тульская область,2619.8,2079,54.1931,180,1681.0,ЦФО
2002,Тюменская область,8558.5,19014,57.1522,2100,1330.0,УрФО
2002,Ханты-Мансийский ...,10846.3,10653,60.95,2300,1424.0,УрФО
2002,Ямало-Ненецкий ав...,13298.1,2740,66.53,2500,505.0,УрФО
2002,Ульяновская область,2378.9,2044,54.3142,890,1387.0,ПФО
2002,Челябинская область,3108.3,8488,55.1644,1900,3609.0,УрФО
2002,Забайкальский край,2993.1,1020,52.05,6000,1159.0,СФО
2002,Чукотский авт.округ,11313.2,205,64.7333,6000,54.0,ДВФО
2002,Ярославская область,3354.2,2432,57.6291,270,1371.0,ЦФО
2002,Республика Адыгея,2166.9,1653,44.6101,1500,446.0,ЮФО
2002,Хабаровский край,4689.1,1748,48.4808,6100,1440.0,ДВФО
2002,Республика Башкор...,3133.8,16612,54.7388,1300,4105.0,ПФО
2002,Республика Бурятия,3141.2,2290,51.8333,5200,983.0,СФО
2002,Республика Дагестан,1534.0,4230,42.9833,1600,2558.0,СКФО
2002,Кабардино-Балкарс...,2095.0,1684,43.4833,1700,897.0,СКФО
2002,Республика Алтай,2354.6,393,51.9582,3600,202.0,СФО
2002,Республика Калмыкия,1763.0,683,46.3078,1300,294.0,ЮФО
2002,Республика Карелия,4061.0,744,61.785,1000,718.0,СЗФО
2002,Республика Коми,6225.0,2067,61.6667,1300,1022.0,СЗФО
2002,Республика Марий Эл,1813.1,1684,56.63,800,729.0,ПФО
2002,Республика Мордовия,2124.1,1620,54.1833,600,891.0,ПФО
2002,Республика Северн...,1961.0,1185,43.02,1900,709.0,СКФО
2002,Карачаево-Черкесс...,1999.4,445,44.22,1400,439.0,СКФО
2002,Республика Татарстан,3249.4,18692,55.83,800,3779.0,ПФО
2002,Республика Тыва,2402.1,518,51.7,4200,305.0,СФО
2002,Удмуртская Респуб...,2533.0,3932,56.85,1100,1573.0,ПФО
2002,Республика Хакасия,3143.7,981,53.7167,4000,547.0,СФО
2002,Чувашская Республика,2069.9,6142,56.15,700,1315.0,ПФО
2002,Республика Саха (...,6348.2,3811,62.0281,5000,950.0,ДВФО
2002,Еврейская автоном...,3081.0,259,48.4667,6700,191.0,ДВФО
2003,Алтайский край,2894.5,4648,53.3548,3600,2587.0,СФО
2003,Амурская область,3852.4,1544,50.2907,6500,894.0,ДВФО
2003,Архангельская обл...,4834.2,1173,64.5393,1200,1282.0,СЗФО
2003,Ненецкий авт.округ,14197.2,132,67.6383,1500,41.0,СЗФО
2003,Астраханская область,3864.1,3499,46.3497,1400,1005.0,ЮФО
2003,Белгородская область,3357.4,8329,50.5978,700,1512.0,ЦФО
2003,Брянская область,3134.6,2498,53.2521,380,1367.0,ЦФО
2003,Владимирская область,2842.0,3459,56.1282,180,1514.0,ЦФО
2003,Волгоградская обл...,3802.9,3658,48.7078,970,2683.0,ЮФО
2003,Вологодская область,4411.8,3277,59.2239,450,1261.0,СЗФО
2003,Воронежская область,3391.2,9239,51.6608,520,2370.0,ЦФО
2003,Нижегородская обл...,4000.1,6851,56.3269,420,3498.0,ПФО
2003,Ивановская область,2293.1,1208,57.0003,300,1137.0,ЦФО
2003,Иркутская область,4549.6,2583,52.2864,5200,2565.0,СФО
2003,Республика Ингушетия,1402.2,240,43.1667,1700,460.0,СКФО
2003,Калининградская о...,3807.1,2089,54.7104,1100,950.0,СЗФО
2003,Тверская область,3020.6,3230,56.8587,180,1456.0,ЦФО
2003,Калужская область,3339.8,2371,54.5143,190,1035.0,ЦФО
2003,Центральный федер...,7211.3,159008,55.7558,0,37955.0,ЦФО
2003,Краснодарский край,3662.2,14106,45.0355,1200,5117.0,ЮФО
2003,Камчатский край,7100.8,182,53.0444,6770,354.0,ДВФО
2003,Северо-Западный ф...,5403.5,41361,59.9343,635,13904.0,СЗФО
2003,Кемеровская область,4906.6,7071,55.3333,3600,2877.0,СФО
2003,Приволжский федер...,3916.6,87826,55.83,800,30998.0,ПФО
2003,Кировская область,3093.6,2332,58.6035,900,1485.0,ПФО
2003,Уральский федерал...,6109.6,35581,56.8389,1800,12322.0,УрФО
2003,Костромская область,3089.2,1209,57.7679,350,728.0,ЦФО
2003,Сибирский федерал...,4351.3,41591,55.0415,3300,17815.0,СФО
2003,Дальневосточный ф...,5788.3,11189,43.1155,9300,8768.0,ДВФО
2003,Самарская область,5788.1,9407,53.1959,1050,3232.0,ПФО
2003,Южный федеральный...,3309.6,48823,45.0355,1200,13930.0,ЮФО
2003,Курганская область,2867.2,1337,55.4412,1900,1007.0,УрФО
2003,Курская область,3371.4,3467,51.7373,500,1222.0,ЦФО
2003,Красноярский край,5508.8,7406,56.0153,4100,2946.0,СФО
2003,г.Санкт-Петербург,6851.2,23335,59.9343,635,4659.0,СЗФО
2003,Ленинградская обл...,3052.3,4673,59.9343,635,1670.0,СЗФО
2003,Липецкая область,3563.2,3883,52.6031,420,1208.0,ЦФО
2003,Магаданская область,8184.6,125,59.5681,5900,179.0,ДВФО
2003,г.Москва,16826.6,64036,55.7558,0,10461.0,ЦФО
2003,Московская область,4425.0,39053,55.7558,0,6644.0,ЦФО
2003,Мурманская область,7134.7,202,68.9792,1900,881.0,СЗФО
2003,Новгородская область,3715.4,1641,58.5214,530,687.0,СЗФО
2003,Приморский край,4246.2,2524,43.1155,9300,2057.0,ДВФО
2003,Новосибирская обл...,3892.9,7223,55.0415,3300,2681.0,СФО
2003,Омская область,4512.5,3732,54.9924,2700,2064.0,СФО
2003,Оренбургская область,3135.1,5132,51.7674,1400,2162.0,ПФО
2003,Орловская область,3225.3,2864,52.9668,360,852.0,ЦФО
2003,Пензенская область,2764.9,2847,53.1959,640,1444.0,ПФО
2003,Пермский край,5257.3,5468,58.0105,1400,2798.0,ПФО
2003,Псковская область,3555.7,1690,57.8169,690,752.0,СЗФО
2003,Ростовская область,4023.9,10966,47.2225,1100,4386.0,ЮФО
2003,Рязанская область,3309.1,2973,54.6292,200,1217.0,ЦФО
2003,Саратовская область,3337.1,5078,51.5331,840,2651.0,ПФО
2003,Сахалинская область,7676.0,402,46.9641,6700,540.0,ДВФО
2003,Свердловская область,5278.0,8713,56.8389,1800,4455.0,УрФО
2003,Смоленская область,3723.9,2989,54.7818,370,1042.0,ЦФО
2003,Тамбовская область,3416.2,2738,52.7236,480,1168.0,ЦФО
2003,Томская область,5407.3,3563,56.4846,3600,1041.0,СФО
2003,Ставропольский край,3071.8,6442,45.0428,1400,2735.0,ЮФО
2003,Тульская область,3382.6,2561,54.1931,180,1659.0,ЦФО
2003,Тюменская область,10555.5,16239,57.1522,2100,1320.0,УрФО
2003,Ханты-Мансийский ...,12892.1,8617,60.95,2300,1445.0,УрФО
2003,Ямало-Ненецкий ав...,15962.2,1871,66.53,2500,509.0,УрФО
2003,Ульяновская область,3063.1,2198,54.3142,890,1372.0,ПФО
2003,Челябинская область,3998.1,9293,55.1644,1900,3583.0,УрФО
2003,Забайкальский край,4015.7,1532,52.05,6000,1147.0,СФО
2003,Чукотский авт.округ,13663.9,329,64.7333,6000,52.0,ДВФО
2003,Ярославская область,4266.6,2902,57.6291,270,1355.0,ЦФО
2003,Республика Адыгея,2548.9,655,44.6101,1500,445.0,ЮФО
2003,Хабаровский край,6205.3,2139,48.4808,6100,1425.0,ДВФО
2003,Республика Башкор...,4153.1,17485,54.7388,1300,4098.0,ПФО
2003,Республика Бурятия,3857.4,2296,51.8333,5200,977.0,СФО
2003,Республика Дагестан,2125.0,4893,42.9833,1600,2599.0,СКФО
2003,Кабардино-Балкарс...,2571.4,1985,43.4833,1700,895.0,СКФО
2003,Республика Алтай,2876.4,325,51.9582,3600,202.0,СФО
2003,Республика Калмыкия,2100.2,477,46.3078,1300,292.0,ЮФО
2003,Республика Карелия,4937.0,997,61.785,1000,709.0,СЗФО
2003,Республика Коми,7476.7,2283,61.6667,1300,1007.0,СЗФО
2003,Республика Марий Эл,2189.0,1668,56.63,800,724.0,ПФО
2003,Республика Мордовия,2719.9,1776,54.1833,600,882.0,ПФО
2003,Республика Северн...,2596.0,1338,43.02,1900,708.0,СКФО
2003,Карачаево-Черкесс...,2619.2,564,44.22,1400,441.0,СКФО
2003,Республика Татарстан,4273.1,17682,55.83,800,3775.0,ПФО
2003,Республика Тыва,2872.9,301,51.7,4200,305.0,СФО
2003,Удмуртская Респуб...,3098.1,3933,56.85,1100,1564.0,ПФО
2003,Республика Хакасия,3765.0,911,53.7167,4000,543.0,СФО
2003,Чувашская Республика,2749.2,5968,56.15,700,1306.0,ПФО
2003,Республика Саха (...,8239.7,3756,62.0281,5000,949.0,ДВФО
2003,Еврейская автоном...,4062.4,188,48.4667,6700,189.0,ДВФО
2004,Алтайский край,3495.7,3776,53.3548,3600,2555.0,СФО
2004,Амурская область,4695.3,1058,50.2907,6500,880.0,ДВФО
2004,Архангельская обл...,6119.4,1450,64.5393,1200,1265.0,СЗФО
2004,Ненецкий авт.округ,20122.2,109,67.6383,1500,41.0,СЗФО
2004,Астраханская область,4559.4,3178,46.3497,1400,1006.0,ЮФО
2004,Белгородская область,4070.2,10062,50.5978,700,1512.0,ЦФО
2004,Брянская область,3720.4,2586,53.2521,380,1352.0,ЦФО
2004,Владимирская область,3381.6,3727,56.1282,180,1503.0,ЦФО
2004,Волгоградская обл...,4648.2,5050,48.7078,970,2664.0,ЮФО
2004,Вологодская область,5246.4,4265,59.2239,450,1250.0,СЗФО
2004,Воронежская область,4143.0,8179,51.6608,520,2366.0,ЦФО
2004,Нижегородская обл...,4793.7,8105,56.3269,420,3464.0,ПФО
2004,Ивановская область,2858.8,808,57.0003,300,1123.0,ЦФО
2004,Иркутская область,5418.6,2864,52.2864,5200,2538.0,СФО
2004,Республика Ингушетия,1757.5,170,43.1667,1700,442.0,СКФО
2004,Калининградская о...,4692.5,2595,54.7104,1100,944.0,СЗФО
2004,Тверская область,3955.8,3646,56.8587,180,1440.0,ЦФО
2004,Калужская область,4181.4,2410,54.5143,190,1029.0,ЦФО
2004,Центральный федер...,8991.1,179155,55.7558,0,38004.0,ЦФО
2004,Краснодарский край,4378.9,15612,45.0355,1200,5116.0,ЮФО
2004,Камчатский край,8343.0,146,53.0444,6770,347.0,ДВФО
2004,Северо-Западный ф...,6938.2,48428,59.9343,635,13826.0,СЗФО
2004,Кемеровская область,6161.6,7712,55.3333,3600,2847.0,СФО
